Category	CONCEPT	avg cosine	animacy	norm_fam	ln(word_freq)	word length	num_syllable
a_plant	onions	0.031768946	n	7.4	2.944438979	6	2
clothing	coat	0.031212569	n	8.35	3.970291914	4	1
an_appliance	toaster	0.031134935	n	7.8	0	7	2
a_utensil	dish	0.030833641	n	8.8	3.610917913	4	1
a_miscellaneous_nonliving_thing	wheel	0.03080037	n	8.2	4.343805422	5	1
clothing	scarf	0.030528651	n	7.5	1.386294361	5	1
a_miscellaneous_nonliving_thing	racquet	0.030225508	n	5.75	0	7	2
a_tool	hoe	0.029824399	n	3.7	0	3	1
a_vehicle	yacht	0.029524954	n	3.85	1.945910149	5	1
clothing	pants	0.029463956	n	8.95	2.197224577	5	1
a_plant	pineapple	0.029310536	n	6.4	2.197224577	9	3
a_tool	pencil	0.029308688	n	8.6	3.63758616	6	2
a_vehicle	bus	0.029260628	n	8.35	3.688879454	3	1
a_tool	paintbrush	0.029242144	n	6.85	0	10	2
an_animal	snail	0.029197782	y	5.4	0.693147181	5	1
a_musical_instrument	violin	0.029005545	n	3.8	0	6	3
furniture	rocker	0.028992606	n	5.3	1.609437912	6	2
a_miscellaneous_nonliving_thing	skis	0.028879852	n	5	2.197224577	4	1
a_vehicle	car	0.028702403	n	8.6	5.955837369	3	1
a_container	urn	0.028663586	n	2.6	1.386294361	3	1
a_tool	fork	0.028569316	n	8.7	1.945910149	4	1
a_miscellaneous_nonliving_thing	ball	0.028469501	n	8.35	4.812184355	4	1
a_vehicle	ambulance	0.028171904	n	6.45	1.945910149	9	3
a_vegetable	potato	0.02810536	n	8.15	3.496507561	6	3
a_vehicle	sailboat	0.027878004	n	4.95	1.386294361	8	2
an_appliance	dishwasher	0.027866913	n	7.3	0	10	3
a_weapon	bayonet	0.027726433	n	1.75	2.197224577	7	3
a_container	basket	0.027696858	n	6.9	2.944438979	6	2
a_miscellaneous_nonliving_thing	ruler	0.027521257	n	7.75	2.564949357	5	2
a_weapon	slingshot	0.027521257	n	4.15	0	9	2
an_appliance	oven	0.027426987	n	7.5	2.079441542	4	2
a_container	freezer	0.027243993	n	8.35	0.693147181	7	2
a_container	bag	0.026848429	n	8.55	3.951243719	3	1
a_vehicle	canoe	0.026768946	n	6.1	2.197224577	5	2
a_root_tuber	carrot	0.026454713	n	7.6	1.609437912	6	2
a_house	bungalow	0.026393715	n	4.3	0	8	3
clothing	boots	0.026336414	n	8.1	3.496507561	5	1
a_vehicle	motorcycle	0.02628281	n	4.9	0	10	4
a_plant	corn	0.026221811	n	7.85	3.583518938	4	1
a_miscellaneous_nonliving_thing	faucet	0.026014787	n	8.1	0	6	2
a_tool	axe	0.026009242	n	4.6	3.218875825	3	1
a_tool	tomahawk	0.025613678	n	2.1	0	8	3
a_miscellaneous_nonliving_thing	garage	0.025597043	n	7.85	3.258096538	6	2
a_fruit	lemon	0.025569316	n	7.15	2.944438979	5	2
a_building	cathedral	0.025262477	n	4.7	2.397895273	9	3
a_vehicle	train	0.025194085	n	6.05	4.584967479	5	1
a_vehicle	bike	0.02505915	n	7.7	0	4	1
a_fashion_accessory	bracelet	0.025044362	n	8.2	0	8	2
a_miscellaneous_nonliving_thing	cork	0.024983364	n	5.7	2.302585093	4	1
a_miscellaneous_nonliving_thing	emerald	0.02496488	n	4.05	2.197224577	7	3
clothing	shawl	0.024844732	n	3.3	1.609437912	5	1
a_container	mug	0.024809612	n	8.6	1.098612289	3	1
an_appliance	stove	0.024770795	n	8.35	2.833213344	5	1
a_tool	drill	0.024569316	n	6	3.610917913	5	1
a_vehicle	helicopter	0.024404806	n	4.05	0	10	4
a_miscellaneous_nonliving_thing	cigar	0.024341959	n	4.6	2.48490665	5	2
a_miscellaneous_nonliving_thing	elevator	0.023807763	n	8.1	2.48490665	8	4
a_miscellaneous_nonliving_thing	cushion	0.023693161	n	7.9	2.302585093	7	2
a_miscellaneous_nonliving_thing	closet	0.023608133	n	8.7	2.48490665	6	2
clothing	sweater	0.023550832	n	8.45	2.890371758	7	2
a_miscellaneous_nonliving_thing	pyramid	0.023545287	n	2.7	1.098612289	7	3
a_miscellaneous_nonliving_thing	escalator	0.023395564	n	7.35	0	9	4
furniture	couch	0.023192237	n	8.05	2.564949357	5	1
a_utensil	cup	0.023149723	n	8.2	4.077537444	3	1
clothing	blouse	0.023116451	n	7.25	0.693147181	6	1
a_vegetable	garlic	0.023096118	n	7.85	1.386294361	6	2
a_machine	blender	0.022922366	n	5.8	0	7	2
clothing	shirt	0.022526802	n	8.8	3.36729583	5	1
a_utensil	mixer	0.022266174	n	5.9	1.098612289	5	2
a_vehicle	dunebuggy	0.022207024	n	2.7	0	9	3
clothing	tie	0.021772643	n	6.9	3.63758616	3	1
clothing	trousers	0.021532348	n	6.8	2.302585093	8	2
a_miscellaneous_nonliving_thing	medal	0.021443623	n	5.9	2.397895273	5	2
clothing	parka	0.021438078	n	4.6	0	5	2
clothing	camisole	0.021325323	n	4.2	0	8	3
a_miscellaneous_nonliving_thing	bathtub	0.021312384	n	8.05	1.609437912	7	2
